id,n,h,runtime
00000001,100,10,14
00000002,100,20,17
00000003,100,50,36
00000004,200,10,37
00000005,200,20,47
00000006,200,50,55
00000007,500,10,70
00000008,500,20,79
00000009,500,50,88
00000010,1000,10,128
00000011,1000,20,134
00000012,1000,50,144
00000013,1000,100,164
00000014,1000,200,168
00000015,1000,500,280
00000016,2000,10,318
00000017,2000,20,323
00000018,2000,50,340
00000019,2000,100,375
00000020,2000,200,444
00000021,2000,500,482
00000022,5000,10,760
00000023,5000,20,729
00000024,5000,50,761
00000025,5000,100,831
00000026,5000,200,974
00000027,5000,500,1526
00000028,10000,10,1146
00000029,10000,20,1185
00000030,10000,50,1240
00000031,10000,100,1269
00000032,10000,200,1467
00000033,10000,500,1563
00000034,10000,1000,2201
00000035,10000,2000,3659
00000036,10000,5000,5739
00000037,20000,10,2185
00000038,20000,20,2222
00000039,20000,50,2343
00000040,20000,100,2473
00000041,20000,200,3032
00000042,20000,500,3816
00000043,20000,1000,4532
00000044,20000,2000,7758
00000045,20000,5000,9853
00000046,50000,10,6691
00000047,50000,20,7639
00000048,50000,50,7793
00000049,50000,100,7612
00000050,50000,200,8233
00000051,50000,500,11615
00000052,50000,1000,10999
00000053,50000,2000,26790
00000054,50000,5000,29106
00000055,100000,10,11101
00000056,100000,20,12214
00000057,100000,50,13474
00000058,100000,100,14900
00000059,100000,200,15002
00000060,100000,500,16488
00000061,100000,1000,17833
00000062,100000,2000,22749
00000063,100000,5000,37919
00000064,100000,10000,41718
00000065,100000,20000,49269
00000066,100000,50000,55199
00000067,200000,10,24717
00000068,200000,20,25180
00000069,200000,50,32861
00000070,200000,100,28673
00000071,200000,200,24887
00000072,200000,500,31778
00000073,200000,1000,36784
00000074,200000,2000,74887
00000075,200000,5000,80862
00000076,200000,10000,85376
00000077,200000,20000,97161
00000078,200000,50000,97813
00000079,500000,10,83134
00000080,500000,20,59373
00000081,500000,50,67158
00000082,500000,100,71483
00000083,500000,200,88621
00000084,500000,500,76895
00000085,500000,1000,82133
00000086,500000,2000,192694
00000087,500000,5000,196047
00000088,500000,10000,218056
00000089,500000,20000,228051
00000090,500000,50000,222890
00000091,1000000,10,103659
00000092,1000000,20,117379
00000093,1000000,50,125849
00000094,1000000,100,145591
00000095,1000000,200,156491
00000096,1000000,500,163686
00000097,1000000,1000,235324
00000098,1000000,2000,365924
00000099,1000000,5000,377830
00000100,1000000,10000,418068
00000101,1000000,20000,424708
00000102,1000000,50000,437672
00000103,1000000,100000,442429
00000104,1000000,200000,455397
00000105,1000000,500000,492703
00000106,2000000,10,234567
00000107,2000000,20,235509
00000108,2000000,50,251599
00000109,2000000,100,247984
00000110,2000000,200,266648
00000111,2000000,500,346381
00000112,2000000,1000,377065
00000113,2000000,2000,772542
00000114,2000000,5000,754213
00000115,2000000,10000,771788
00000116,2000000,20000,818885
00000117,2000000,50000,795712
00000118,2000000,100000,820928
00000119,2000000,200000,846944
00000120,2000000,500000,975781
