id,n,h,runtime
00000001,100,10,9
00000002,100,20,9
00000003,100,50,10
00000004,200,10,36
00000005,200,20,18
00000006,200,50,18
00000007,500,10,48
00000008,500,20,49
00000009,500,50,49
00000010,1000,10,106
00000011,1000,20,104
00000012,1000,50,158
00000013,1000,100,134
00000014,1000,200,104
00000015,1000,500,103
00000016,2000,10,223
00000017,2000,20,222
00000018,2000,50,226
00000019,2000,100,224
00000020,2000,200,230
00000021,2000,500,224
00000022,5000,10,607
00000023,5000,20,608
00000024,5000,50,626
00000025,5000,100,615
00000026,5000,200,608
00000027,5000,500,624
00000028,10000,10,1290
00000029,10000,20,1322
00000030,10000,50,1282
00000031,10000,100,1289
00000032,10000,200,1306
00000033,10000,500,1295
00000034,10000,1000,1302
00000035,10000,2000,1272
00000036,10000,5000,1278
00000037,20000,10,3001
00000038,20000,20,2830
00000039,20000,50,2729
00000040,20000,100,3516
00000041,20000,200,2737
00000042,20000,500,3001
00000043,20000,1000,2880
00000044,20000,2000,2735
00000045,20000,5000,4075
00000046,50000,10,7729
00000047,50000,20,7625
00000048,50000,50,7510
00000049,50000,100,7556
00000050,50000,200,7435
00000051,50000,500,7704
00000052,50000,1000,7662
00000053,50000,2000,7515
00000054,50000,5000,7749
00000055,100000,10,15664
00000056,100000,20,15526
00000057,100000,50,15412
00000058,100000,100,15632
00000059,100000,200,15719
00000060,100000,500,15373
00000061,100000,1000,15502
00000062,100000,2000,15594
00000063,100000,5000,15882
00000064,100000,10000,15481
00000065,100000,20000,16027
00000066,100000,50000,15411
00000067,200000,10,32706
00000068,200000,20,32588
00000069,200000,50,33258
00000070,200000,100,32620
00000071,200000,200,32773
00000072,200000,500,33423
00000073,200000,1000,33237
00000074,200000,2000,32748
00000075,200000,5000,32743
00000076,200000,10000,32675
00000077,200000,20000,32705
00000078,200000,50000,33505
00000079,500000,10,89036
00000080,500000,20,87440
00000081,500000,50,87350
00000082,500000,100,87326
00000083,500000,200,88014
00000084,500000,500,88305
00000085,500000,1000,86881
00000086,500000,2000,87181
00000087,500000,5000,86810
00000088,500000,10000,86503
00000089,500000,20000,86968
00000090,500000,50000,87214
00000091,1000000,10,183946
00000092,1000000,20,182427
00000093,1000000,50,186128
00000094,1000000,100,183871
00000095,1000000,200,183885
00000096,1000000,500,183336
00000097,1000000,1000,183735
00000098,1000000,2000,184350
00000099,1000000,5000,185652
00000100,1000000,10000,184015
00000101,1000000,20000,182774
00000102,1000000,50000,187479
00000103,1000000,100000,182648
00000104,1000000,200000,181918
00000105,1000000,500000,180401
00000106,2000000,10,384169
00000107,2000000,20,383045
00000108,2000000,50,387835
00000109,2000000,100,381441
00000110,2000000,200,382989
00000111,2000000,500,383288
00000112,2000000,1000,384513
00000113,2000000,2000,383237
00000114,2000000,5000,383738
00000115,2000000,10000,382052
00000116,2000000,20000,383897
00000117,2000000,50000,388696
00000118,2000000,100000,380467
00000119,2000000,200000,388341
00000120,2000000,500000,381787
00000121,5000000,10,1002933
00000122,5000000,20,1017922
00000123,5000000,50,1007645
00000124,5000000,100,1005437
00000125,5000000,200,1039962
00000126,5000000,500,1002641
00000127,5000000,1000,1016602
00000128,5000000,2000,1013161
00000129,5000000,5000,1030559
00000130,5000000,10000,1007661
00000131,5000000,20000,1036740
00000132,5000000,50000,1015222
00000133,5000000,100000,1013101
00000134,5000000,200000,1007984
00000135,5000000,500000,1012893
